tileID,img_date
16TGK,20190501
16TGK,20190508
16TGK,20190511
16TGK,20190518
16TGK,20190521
16TGK,20190528
16TGK,20190531
16TGK,20190607
16TGK,20190610
16TGK,20190617
16TGK,20190620
16TGK,20190627
16TGK,20190630
16TGK,20190707
16TGK,20190710
16TGK,20190717
16TGK,20190720
16TGK,20190727
16TGK,20190730
16TGK,20190806
16TGK,20190809
16TGK,20190816
16TGK,20190819
16TGK,20190826
16TGK,20190829
16TGK,20200502
16TGK,20200505
16TGK,20200512
16TGK,20200515
16TGK,20200522
16TGK,20200525
16TGK,20200601
16TGK,20200604
16TGK,20200611
16TGK,20200614
16TGK,20200621
16TGK,20200624
16TGK,20200701
16TGK,20200704
16TGK,20200711
16TGK,20200714
16TGK,20200721
16TGK,20200724
16TGK,20200731
16TGK,20200803
16TGK,20200810
16TGK,20200813
16TGK,20200820
16TGK,20200823
16TGK,20200830
